x y z
-0.969 1.531 0.459
-0.969 1.735 0.464
-0.969 1.939 0.462
-0.969 2.143 0.460
-0.969 2.347 0.487
-0.969 2.551 0.512
-0.969 2.755 0.521
-0.969 2.959 0.514
-0.969 3.163 0.493
-0.969 3.367 0.461
-0.969 3.571 0.419
-0.969 3.776 0.372
-0.969 3.980 0.319
-0.969 4.184 0.262
-0.969 4.388 0.203
-0.969 4.592 0.141
-0.969 4.796 0.077
-0.969 5.000 0.010
-0.867 -5.000 1.100
-0.867 -4.796 1.032
-0.867 -4.592 0.961
-0.867 -4.388 0.887
-0.867 -4.184 0.808
-0.867 -3.980 0.725
-0.867 -3.776 0.642
-0.867 -3.571 0.561
-0.867 -3.367 0.480
-0.867 -3.163 0.400
-0.867 -2.959 0.321
-0.867 -2.755 0.244
-0.867 -2.551 0.167
-0.867 -2.347 0.092
-0.867 -2.143 0.018
-0.867 -1.939 0.024
-0.867 -1.735 0.056
-0.867 -1.531 0.087
-0.867 -1.327 0.118
-0.867 -1.122 0.148
-0.867 -0.918 0.178
-0.867 -0.714 0.208
-0.867 -0.510 0.238
-0.867 -0.306 0.267
-0.867 -0.102 0.296
-0.867 0.102 0.325
-0.867 0.306 0.353
-0.867 0.510 0.380
-0.867 0.714 0.406
-0.867 0.918 0.429
-0.867 1.122 0.450
-0.867 1.327 0.466
-0.867 1.531 0.476
-0.867 1.735 0.479
-0.867 1.939 0.473
-0.867 2.143 0.494
-0.867 2.347 0.530
-0.867 2.551 0.552
-0.867 2.755 0.554
-0.867 2.959 0.539
-0.867 3.163 0.511
-0.867 3.367 0.472
-0.867 3.571 0.426
-0.867 3.776 0.375
-0.867 3.980 0.319
-0.867 4.184 0.260
-0.867 4.388 0.199
-0.867 4.592 0.135
-0.867 4.796 0.069
-0.867 5.000 0.001
-0.765 -5.000 1.034
-0.765 -4.796 0.964
-0.765 -4.592 0.890
-0.765 -4.388 0.812
-0.765 -4.184 0.730
-0.765 -3.980 0.648
-0.765 -3.776 0.567
-0.765 -3.571 0.487
-0.765 -3.367 0.408
-0.765 -3.163 0.329
-0.765 -2.959 0.252
-0.765 -2.755 0.176
-0.765 -2.551 0.101
-0.765 -2.347 0.027
-0.765 -2.143 0.020
-0.765 -1.939 0.052
-0.765 -1.735 0.083
-0.765 -1.531 0.114
-0.765 -1.327 0.145
-0.765 -1.122 0.175
-0.765 -0.918 0.204
-0.765 -0.714 0.234
-0.765 -0.510 0.263
-0.765 -0.306 0.292
